seasonality	eir	Access	Dosage	prevalance	prevalance_var
sesonality1	5	0.04	0	0.637910076502732	0.00436110425665378
sesonality2	5	0.04	0	0.519641541202186	0.00608875440873116
sesonality1	10	0.04	0	0.77524679147541	0.00322096734094241
sesonality2	10	0.04	0	0.627497148415301	0.00485423660429994
sesonality1	500	0.04	0	0.916466405253776	0.000731741035958503
sesonality2	500	0.04	0	0.872693248743169	0.00107253205690609
sesonality1	5	0.5	0	0.510081093333333	0.035443966890825
sesonality2	5	0.5	0	0.325009220983607	0.0480445948978622
sesonality1	10	0.5	0	0.644886133770492	0.027177045790228
sesonality2	10	0.5	0	0.42855886295082	0.0412459893567461
sesonality1	500	0.5	0	0.870480630601093	0.00757282242012195
sesonality2	500	0.5	0	0.793198094508525	0.0118403660459015
sesonality1	5	0.04	1	0.636707972240437	0.00142795281603521
sesonality2	5	0.04	1	0.518006155191257	0.00200715185363641
sesonality1	10	0.04	1	0.774357183606557	0.000873887742368894
sesonality2	10	0.04	1	0.626106188852459	0.00147194742634689
sesonality1	500	0.04	1	0.91626157471101	0.000482457939662454
sesonality2	500	0.04	1	0.872349497041744	0.000550484332494098
sesonality1	5	0.5	1	0.498904414863388	0.00389467455131437
sesonality2	5	0.5	1	0.310855636065574	0.00381278549640411
sesonality1	10	0.5	1	0.636265378142077	0.00351488428653255
sesonality2	10	0.5	1	0.416457668196721	0.00348555821928477
sesonality1	500	0.5	1	0.867529817972477	0.00260679221633047
sesonality2	500	0.5	1	0.789077546345948	0.00309309768241482
