seasonality	eir	Access	Dosage	prevalance	prevalance_var
sesonality1	5	0.04	0	0.634817128514056	0.00251224324582925
sesonality2	5	0.04	0	0	0
sesonality1	10	0.04	0	0.772308243884629	0.00178959318777557
sesonality2	10	0.04	0	0	0
sesonality1	500	0.04	0	0.913538840817817	0.000830871002796908
sesonality2	500	0.04	0	0	0
sesonality1	5	0.5	0	0.444765690032859	0.0352407047387074
sesonality2	5	0.5	0	0	0
sesonality1	10	0.5	0	0.579829592917123	0.0376290181654123
sesonality2	10	0.5	0	0	0
sesonality1	500	0.5	0	0.838071296093465	0.0106180250578767
sesonality2	500	0.5	0	0	0
sesonality1	5	0.04	1	0.635003882803943	0.00262542029212453
sesonality2	5	0.04	1	0	0
sesonality1	10	0.04	1	0.771654543629062	0.00262612627947889
sesonality2	10	0.04	1	0	0
sesonality1	500	0.04	1	0.911399698795181	0.000586098754887263
sesonality2	500	0.04	1	0	0
sesonality1	5	0.5	1	0.454243320554947	0.0183638987820689
sesonality2	5	0.5	1	0	0
sesonality1	10	0.5	1	0.565431277838627	0.0289112285937794
sesonality2	10	0.5	1	0	0
sesonality1	500	0.5	1	0.833660396129974	0.00646108535441301
sesonality2	500	0.5	1	0	0
