seasonality	eir	Access	Dosage	prevalance	prevalance_var
sesonality1	5	0.04	0	0.639628051470588	0.00147097596311113
sesonality2	5	0.04	0	0	0
sesonality1	10	0.04	0	0.777756035899654	0.0007552326839689
sesonality2	10	0.04	0	0	0
sesonality1	500	0.04	0	0.917075855680508	0.000637847089436931
sesonality2	500	0.04	0	0	0
sesonality1	5	0.5	0	0.50103267517301	0.00115396410344582
sesonality2	5	0.5	0	0	0
sesonality1	10	0.5	0	0.640326189446367	0.000915252244791845
sesonality2	10	0.5	0	0	0
sesonality1	500	0.5	0	0.869176456170704	0.000641497253384628
sesonality2	500	0.5	0	0	0
sesonality1	5	0.04	4	0.638819846453287	0.00105788008077607
sesonality2	5	0.04	4	0	0
sesonality1	10	0.04	4	0.776641512399077	0.00099465083035507
sesonality2	10	0.04	4	0	0
sesonality1	500	0.04	4	0.916423892733564	0.000558955861033187
sesonality2	500	0.04	4	0	0
sesonality1	5	0.5	4	0.491804027537486	0.0011152078363854
sesonality2	5	0.5	4	0	0
sesonality1	10	0.5	4	0.630791199538639	0.00235577286128732
sesonality2	10	0.5	4	0	0
sesonality1	500	0.5	4	0.860554517733564	0.00179436433502222
sesonality2	500	0.5	4	0	0
